Kabupaten/Kota,Produksi Alpukat (kuintal) (Kw),Produksi Anggur (kuintal) (Kw),Produksi Apel (kuintal) (Kw),Produksi Belimbing (kuintal) (Kw),Produksi Duku/Langsat/Kokosan (kuintal) (Kw),Produksi Durian (kuintal) (Kw),Produksi Jambu Air (kuintal) (Kw),Produksi Jambu Biji (kuintal) (Kw),Produksi Jengkol (kuintal) (Kw),Produksi Jeruk Besar (kuintal) (Kw),Produksi Jeruk Siam/Keprok (kuintal) (Kw),Produksi Mangga (kuintal) (Kw),Produksi Manggis (kuintal) (Kw),Produksi Melinjo (kuintal) (Kw),Produksi Nangka/Cempedak (kuintal) (Kw),Produksi Nenas (kuintal) (Kw),Produksi Pepaya (kuintal) (Kw),Produksi Petai (kuintal) (Kw),Produksi Pisang (kuintal) (Kw),Produksi Rambutan (kuintal) (Kw),Produksi Salak (kuintal) (Kw),Produksi Sawo (kuintal) (Kw),Produksi Sirsak (kuintal) (Kw),Produksi Sukun (kuintal) (Kw),Produksi Buah Naga (kuintal) (Kw),Produksi Jeruk Lemon (kuintal) (Kw),Produksi Lengkeng (kuintal) (Kw)
Lampung Barat,41419,,,2328,713,10081,2781,7143,6115,1166,20569,7007,8655,5297,7197,1596,55374,5025,245946,2615,8270,5949,1236,2059,933,129,
Tanggamus,25099,,,1290.5,4695,20393.16,1736.36,5090,11396.5,,2620,11082,176872,14101,4948.5,339.8,187056,20248.4,155134.9,13793,36591,7208,3434,11380,6,371,482
Lampung Selatan,22095.05,,,8186.65,7687.3,19238.4,15236.4,9829,37603.5,1819.45,302137,37768.4,865.2,59640.75,70698.8,2200.52,76259,91118,4909815.6,27895.6,13905.49,26385.34,3719,20888,1934,3998,4256.2
Lampung Timur,40891.1,14,,4961.53,9068.5,66375.75,20512.85,54850.85,33946.7,9,242533.15,72176.15,3134.8,27374.2,542285.84,5709.58,198233.48,15894.25,890413.76,42197.4,7053.88,28510.04,8451.85,18920.8,21611.87,42,16061.5
Lampung Tengah,16454.6,2.1,,1317.87,36.4,20863.79,4164.49,2258.82,4955.99,,495.53,9497.19,477.12,4222.91,44096.64,7043262.15,6730.9,5736.79,847173.55,13967.55,3020.85,19093.37,877.46,4915.46,599.7,111.35,1626.7
Lampung Utara,23450.25,,,3925.28,12986.1,9668,7391.1,2530.2,9667.55,780.3,16604,27416.85,3471.65,1514.5,70994.8,1582,9560.91,12970.99,168374.95,15215.42,545,9743.21,1475.21,3497.3,,38.3,
Way Kanan,4012.77,,,807.95,2077,8536,1130.13,783.1,8099.81,,1138.75,3674.45,226,344.65,5680.74,134.8,3381.16,4919.23,45478.56,8511.88,25.5,2799.3,209.75,584.28,2121.65,9,538.78
Tulangbawang,16132,,,11551,271,1473,7197,9395,9454,950,6812,11153,11,2872,18626,2016,15661,4414,30655,8419,1945,9949,1951,3170,4288,28,3037
Pesawaran,8455.76,,,433.6,44601.36,19222.75,1516.48,2587.7,2827.5,,114433,8476.35,268,28561.94,2372.3,323.85,1403.17,4188.46,3664952.5,11517.7,3308.1,11722.9,674.53,5557.31,15,,49.65
Pringsewu,6280.31,,,1615.9,2135,4925,1601,4326,1519,,260,6299,917,745,5495,40.59,224897.75,354.4,121067,4225,20,4379.5,2331,951.6,6525,72,276.5
Mesuji,611.65,,,449.65,,,986.55,1065.05,2668.95,,5383.65,2035.85,,536.18,5316.3,328.47,4137.6,882.95,89073.55,2644,942.4,5213.6,170.5,386.85,,,
Tulang Bawang Barat,7264.87,155,,1629,2.5,106,6595.67,5367.05,18870.89,,2344,28070.2,,2149.8,46020.2,860.37,9448.94,4864.8,20724.05,9622.8,12,1572,2221.46,3524,144.75,16,805.08
Pesisir Barat,20178.28,2,,1739.5,4214.33,18623.33,3589.57,2036.25,29533.33,,84433.12,15571.84,9771.05,4819.2,11312.84,349.02,17126.18,8035.88,23669.08,5434.45,60.32,9845.35,1665.93,4003.4,7.64,3908.02,159.5
Kota Bandar Lampung,6794.55,,,518.15,621.2,4422.65,1704.8,6833.52,1808,,24.5,5480,288,19545.2,10845.1,1.66,63121.3,1241.32,19352.88,5586.1,4141,424.8,238.9,741.52,3137,4,85.4
Kota Metro,936,,,300.75,,8,97,288,110,,27.25,379,,513.2,2956.3,88.2,1388.5,437.5,565.75,1083,,641.9,172.95,235.5,89.5,18,129
Lampung,240075.19,173.1,,41055.33,89108.69,203936.83,76240.4,114383.54,178576.72,4724.75,799814.95,246087.28,204956.82,172237.53,848846.36,7058833.01,873779.89,180331.97,11232397.13,172727.9,79840.54,143437.31,28829.54,80815.02,41413.11,8744.67,27507.31
